Place,Sponsor,Team,Size,Complexity,Method,Type,Score,Scaled Score,Prediction
precarious,precarious,precarious,large,complex,agile,Customizing of bought solution,21.32592593,15.58228067,precarious
precarious,precarious,precarious,large,complex,agile,Modernisation,22.81851852,19.06904309,precarious
precarious,precarious,precarious,large,average,waterfall,Greenfield,17.47777778,6.592836131,precarious
precarious,precarious,precarious,large,average,waterfall,Development with components,18.74074074,9.543173559,precarious
precarious,precarious,precarious,large,average,waterfall,Customizing of bought solution,19.54444444,11.42066101,precarious
precarious,precarious,precarious,large,average,waterfall,Modernisation,21.03703704,14.90742343,precarious
precarious,precarious,precarious,large,average,agile,Greenfield,20.59259259,13.86918152,precarious
precarious,precarious,precarious,large,average,agile,Development with components,21.85555556,16.81951895,precarious
precarious,precarious,precarious,large,average,agile,Customizing of bought solution,22.65925926,18.6970064,precarious
precarious,precarious,precarious,large,average,agile,Modernisation,24.15185185,22.18376882,precarious
precarious,precarious,precarious,large,easy,waterfall,Greenfield,17.83333333,7.423429659,precarious
precarious,precarious,precarious,large,easy,waterfall,Development with components,19.0962963,10.37376709,precarious
precarious,precarious,precarious,large,easy,waterfall,Customizing of bought solution,19.9,12.25125454,precarious
precarious,precarious,precarious,large,easy,waterfall,Modernisation,21.39259259,15.73801696,precarious
precarious,precarious,precarious,large,easy,agile,Greenfield,20.94814815,14.69977505,precarious
precarious,precarious,precarious,large,easy,agile,Development with components,22.21111111,17.65011248,precarious
precarious,precarious,precarious,large,easy,agile,Customizing of bought solution,23.01481481,19.52759993,precarious
precarious,precarious,precarious,large,easy,agile,Modernisation,24.50740741,23.01436235,precarious
precarious,precarious,precarious,large,very easy,waterfall,Greenfield,18.01111111,7.838726423,precarious
precarious,precarious,precarious,large,very easy,waterfall,Development with components,19.27407407,10.78906385,precarious
precarious,precarious,precarious,large,very easy,waterfall,Customizing of bought solution,20.07777778,12.66655131,precarious
precarious,precarious,precarious,large,very easy,waterfall,Modernisation,21.57037037,16.15331372,precarious
precarious,precarious,precarious,large,very easy,agile,Greenfield,21.12592593,15.11507181,precarious
precarious,precarious,precarious,large,very easy,agile,Development with components,22.38888889,18.06540924,precarious
precarious,precarious,precarious,large,very easy,agile,Customizing of bought solution,23.19259259,19.94289669,precarious
precarious,precarious,precarious,large,very easy,agile,Modernisation,24.68518519,23.42965911,precarious
precarious,precarious,precarious,medium,very complex,waterfall,Greenfield,17.1,5.710330507,precarious
precarious,precarious,precarious,medium,very complex,waterfall,Development with components,18.36296296,8.660667936,precarious
precarious,precarious,precarious,medium,very complex,waterfall,Customizing of bought solution,19.16666667,10.53815539,precarious
precarious,precarious,precarious,medium,very complex,waterfall,Modernisation,20.65925926,14.02491781,precarious
precarious,precarious,precarious,medium,very complex,agile,Greenfield,20.21481481,12.9866759,precarious
precarious,precarious,precarious,medium,very complex,agile,Development with components,21.47777778,15.93701332,precarious
precarious,precarious,precarious,medium,very complex,agile,Customizing of bought solution,22.28148148,17.81450078,precarious
precarious,precarious,precarious,medium,very complex,agile,Modernisation,23.77407407,21.30126319,precarious
precarious,precarious,precarious,medium,complex,waterfall,Greenfield,17.36666667,6.333275653,precarious
precarious,precarious,precarious,medium,complex,waterfall,Development with components,18.62962963,9.283613082,precarious
precarious,precarious,precarious,medium,complex,waterfall,Customizing of bought solution,19.43333333,11.16110054,precarious
precarious,precarious,precarious,medium,complex,waterfall,Modernisation,20.92592593,14.64786295,precarious
precarious,precarious,precarious,medium,complex,agile,Greenfield,20.48148148,13.60962104,precarious
precarious,precarious,precarious,medium,complex,agile,Development with components,21.74444444,16.55995847,precarious
precarious,precarious,precarious,medium,complex,agile,Customizing of bought solution,22.54814815,18.43744592,precarious
precarious,precarious,precarious,medium,complex,agile,Modernisation,24.04074074,21.92420834,precarious
precarious,precarious,precarious,medium,average,waterfall,Greenfield,18.7,9.448001384,precarious
precarious,precarious,precarious,medium,average,waterfall,Development with components,19.96296296,12.39833881,precarious
precarious,precarious,precarious,medium,average,waterfall,Customizing of bought solution,20.76666667,14.27582627,precarious
precarious,precarious,precarious,medium,average,waterfall,Modernisation,22.25925926,17.76258868,precarious
precarious,precarious,precarious,medium,average,agile,Greenfield,21.81481481,16.72434677,precarious
precarious,precarious,precarious,medium,average,agile,Development with components,23.07777778,19.6746842,precarious
precarious,precarious,precarious,medium,average,agile,Customizing of bought solution,23.88148148,21.55217166,precarious
precarious,precarious,precarious,medium,average,agile,Modernisation,25.37407407,25.03893407,moderate
precarious,precarious,precarious,medium,easy,waterfall,Greenfield,19.05555556,10.27859491,precarious
precarious,precarious,precarious,medium,easy,waterfall,Development with components,20.31851852,13.22893234,precarious
precarious,precarious,precarious,medium,easy,waterfall,Customizing of bought solution,21.12222222,15.1064198,precarious
precarious,precarious,precarious,medium,easy,waterfall,Modernisation,22.61481481,18.59318221,precarious
precarious,precarious,precarious,medium,easy,agile,Greenfield,22.17037037,17.5549403,precarious
precarious,precarious,precarious,medium,easy,agile,Development with components,23.43333333,20.50527773,precarious
precarious,precarious,precarious,medium,easy,agile,Customizing of bought solution,24.23703704,22.38276518,precarious
precarious,precarious,precarious,medium,easy,agile,Modernisation,25.72962963,25.8695276,moderate
precarious,precarious,precarious,medium,very easy,waterfall,Greenfield,19.23333333,10.69389168,precarious
precarious,precarious,precarious,medium,very easy,waterfall,Development with components,20.4962963,13.64422911,precarious
precarious,precarious,precarious,medium,very easy,waterfall,Customizing of bought solution,21.3,15.52171656,precarious
precarious,precarious,precarious,medium,very easy,waterfall,Modernisation,22.79259259,19.00847898,precarious
precarious,precarious,precarious,medium,very easy,agile,Greenfield,22.34814815,17.97023707,precarious
precarious,precarious,precarious,medium,very easy,agile,Development with components,23.61111111,20.92057449,precarious
precarious,precarious,precarious,medium,very easy,agile,Customizing of bought solution,24.41481481,22.79806195,precarious
precarious,precarious,precarious,medium,very easy,agile,Modernisation,25.90740741,26.28482436,moderate
precarious,precarious,precarious,moderate,very complex,waterfall,Greenfield,18.72962963,9.517217512,precarious
precarious,precarious,precarious,moderate,very complex,waterfall,Development with components,19.99259259,12.46755494,precarious
precarious,precarious,precarious,moderate,very complex,waterfall,Customizing of bought solution,20.7962963,14.34504239,precarious
precarious,precarious,precarious,moderate,very complex,waterfall,Modernisation,22.28888889,17.83180481,precarious
precarious,precarious,precarious,moderate,very complex,agile,Greenfield,21.84444444,16.7935629,precarious
precarious,precarious,precarious,moderate,very complex,agile,Development with components,23.10740741,19.74390033,precarious
precarious,precarious,precarious,moderate,very complex,agile,Customizing of bought solution,23.91111111,21.62138778,precarious
precarious,precarious,precarious,moderate,very complex,agile,Modernisation,25.4037037,25.1081502,moderate
precarious,precarious,precarious,moderate,complex,waterfall,Greenfield,18.9962963,10.14016266,precarious
precarious,precarious,precarious,moderate,complex,waterfall,Development with components,20.25925926,13.09050009,precarious
precarious,precarious,precarious,moderate,complex,waterfall,Customizing of bought solution,21.06296296,14.96798754,precarious
precarious,precarious,precarious,moderate,complex,waterfall,Modernisation,22.55555556,18.45474996,precarious
precarious,precarious,precarious,moderate,complex,agile,Greenfield,22.11111111,17.41650805,precarious
precarious,precarious,precarious,moderate,complex,agile,Development with components,23.37407407,20.36684547,precarious
precarious,precarious,precarious,moderate,complex,agile,Customizing of bought solution,24.17777778,22.24433293,precarious
precarious,precarious,precarious,moderate,complex,agile,Modernisation,25.67037037,25.73109535,moderate
precarious,precarious,precarious,moderate,average,waterfall,Greenfield,20.32962963,13.25488839,precarious
precarious,precarious,precarious,moderate,average,waterfall,Development with components,21.59259259,16.20522582,precarious
precarious,precarious,precarious,moderate,average,waterfall,Customizing of bought solution,22.3962963,18.08271327,precarious
precarious,precarious,precarious,moderate,average,waterfall,Modernisation,23.88888889,21.56947569,precarious
precarious,precarious,precarious,moderate,average,agile,Greenfield,23.44444444,20.53123378,precarious
precarious,precarious,precarious,moderate,average,agile,Development with components,24.70740741,23.48157121,precarious
precarious,precarious,precarious,moderate,average,agile,Customizing of bought solution,25.51111111,25.35905866,moderate
precarious,precarious,precarious,moderate,average,agile,Modernisation,27.0037037,28.84582108,moderate
precarious,precarious,precarious,moderate,easy,waterfall,Greenfield,20.68518519,14.08548192,precarious
precarious,precarious,precarious,moderate,easy,waterfall,Development with components,21.94814815,17.03581935,precarious
precarious,precarious,precarious,moderate,easy,waterfall,Customizing of bought solution,22.75185185,18.9133068,precarious
precarious,precarious,precarious,moderate,easy,waterfall,Modernisation,24.24444444,22.40006922,precarious
precarious,precarious,precarious,moderate,easy,agile,Greenfield,23.8,21.36182731,precarious
precarious,precarious,precarious,moderate,easy,agile,Development with components,25.06296296,24.31216473,precarious
precarious,precarious,precarious,moderate,easy,agile,Customizing of bought solution,25.86666667,26.18965219,moderate
precarious,precarious,precarious,moderate,easy,agile,Modernisation,27.35925926,29.6764146,moderate
precarious,precarious,precarious,moderate,very easy,waterfall,Greenfield,20.86296296,14.50077868,precarious
precarious,precarious,precarious,moderate,very easy,waterfall,Development with components,22.12592593,17.45111611,precarious
precarious,precarious,precarious,moderate,very easy,waterfall,Customizing of bought solution,22.92962963,19.32860356,precarious
precarious,precarious,precarious,moderate,very easy,waterfall,Modernisation,24.42222222,22.81536598,precarious
precarious,precarious,precarious,moderate,very easy,agile,Greenfield,23.97777778,21.77712407,precarious
precarious,precarious,precarious,moderate,very easy,agile,Development with components,25.24074074,24.7274615,precarious
precarious,precarious,precarious,moderate,very easy,agile,Customizing of bought solution,26.04444444,26.60494895,moderate
precarious,precarious,precarious,moderate,very easy,agile,Modernisation,27.53703704,30.09171137,moderate
precarious,precarious,precarious,small,very complex,waterfall,Greenfield,25.85925926,26.17234816,moderate
precarious,precarious,precarious,small,very complex,waterfall,Development with components,27.12222222,29.12268559,moderate
precarious,precarious,precarious,small,very complex,waterfall,Customizing of bought solution,27.92592593,31.00017304,moderate
precarious,precarious,precarious,small,very complex,waterfall,Modernisation,29.41851852,34.48693546,moderate
precarious,precarious,precarious,small,very complex,agile,Greenfield,28.97407407,33.44869355,moderate
precarious,precarious,precarious,small,very complex,agile,Development with components,30.23703704,36.39903097,moderate
precarious,precarious,precarious,small,very complex,agile,Customizing of bought solution,31.04074074,38.27651843,moderate
precarious,precarious,precarious,small,very complex,agile,Modernisation,32.53333333,41.76328084,moderate
precarious,precarious,precarious,small,complex,waterfall,Greenfield,26.12592593,26.7952933,moderate
precarious,precarious,precarious,small,complex,waterfall,Development with components,27.38888889,29.74563073,moderate
precarious,precarious,precarious,small,complex,waterfall,Customizing of bought solution,28.19259259,31.62311819,moderate
precarious,precarious,precarious,small,complex,waterfall,Modernisation,29.68518519,35.1098806,moderate
precarious,precarious,precarious,small,complex,agile,Greenfield,29.24074074,34.07163869,moderate
precarious,precarious,precarious,small,complex,agile,Development with components,30.5037037,37.02197612,moderate
precarious,precarious,precarious,small,complex,agile,Customizing of bought solution,31.30740741,38.89946358,moderate
precarious,precarious,precarious,small,complex,agile,Modernisation,32.8,42.38622599,moderate
precarious,precarious,precarious,small,average,waterfall,Greenfield,27.45925926,29.91001903,moderate
precarious,precarious,precarious,small,average,waterfall,Development with components,28.72222222,32.86035646,moderate
precarious,precarious,precarious,small,average,waterfall,Customizing of bought solution,29.52592593,34.73784392,moderate
precarious,precarious,precarious,small,average,waterfall,Modernisation,31.01851852,38.22460633,moderate
precarious,precarious,precarious,small,average,agile,Greenfield,30.57407407,37.18636442,moderate
precarious,precarious,precarious,small,average,agile,Development with components,31.83703704,40.13670185,moderate
precarious,precarious,precarious,small,average,agile,Customizing of bought solution,32.64074074,42.01418931,moderate
precarious,precarious,precarious,small,average,agile,Modernisation,34.13333333,45.50095172,moderate
precarious,precarious,precarious,small,easy,waterfall,Greenfield,27.81481481,30.74061256,moderate
precarious,precarious,precarious,small,easy,waterfall,Development with components,29.07777778,33.69094999,moderate
precarious,precarious,precarious,small,easy,waterfall,Customizing of bought solution,29.88148148,35.56843745,moderate
precarious,precarious,precarious,small,easy,waterfall,Modernisation,31.37407407,39.05519986,moderate
precarious,precarious,precarious,small,easy,agile,Greenfield,30.92962963,38.01695795,moderate
precarious,precarious,precarious,small,easy,agile,Development with components,32.19259259,40.96729538,moderate
precarious,precarious,precarious,small,easy,agile,Customizing of bought solution,32.9962963,42.84478283,moderate
precarious,precarious,precarious,small,easy,agile,Modernisation,34.48888889,46.33154525,moderate
precarious,precarious,precarious,small,very easy,waterfall,Greenfield,27.99259259,31.15590933,moderate
precarious,precarious,precarious,small,very easy,waterfall,Development with components,29.25555556,34.10624676,moderate
precarious,precarious,precarious,small,very easy,waterfall,Customizing of bought solution,30.05925926,35.98373421,moderate
precarious,precarious,precarious,small,very easy,waterfall,Modernisation,31.55185185,39.47049663,moderate
precarious,precarious,precarious,small,very easy,agile,Greenfield,31.10740741,38.43225472,moderate
precarious,precarious,precarious,small,very easy,agile,Development with components,32.37037037,41.38259214,moderate
precarious,precarious,precarious,small,very easy,agile,Customizing of bought solution,33.17407407,43.2600796,moderate
precarious,precarious,precarious,small,very easy,agile,Modernisation,34.66666667,46.74684201,moderate
precarious,precarious,moderate,grand,very complex,waterfall,Greenfield,16.69259259,4.758608756,precarious
precarious,precarious,moderate,grand,very complex,waterfall,Development with components,17.95555556,7.708946184,precarious
precarious,precarious,moderate,grand,very complex,waterfall,Customizing of bought solution,18.75925926,9.586433639,precarious
precarious,precarious,moderate,grand,very complex,waterfall,Modernisation,20.25185185,13.07319605,precarious
precarious,precarious,moderate,grand,very complex,agile,Greenfield,19.80740741,12.03495414,precarious
precarious,precarious,moderate,grand,very complex,agile,Development with components,21.07037037,14.98529157,precarious
precarious,precarious,moderate,grand,very complex,agile,Customizing of bought solution,21.87407407,16.86277903,precarious
precarious,precarious,moderate,grand,very complex,agile,Modernisation,23.36666667,20.34954144,precarious
precarious,precarious,moderate,grand,complex,waterfall,Greenfield,16.95925926,5.381553902,precarious
precarious,precarious,moderate,grand,complex,waterfall,Development with components,18.22222222,8.331891331,precarious
precarious,precarious,moderate,grand,complex,waterfall,Customizing of bought solution,19.02592593,10.20937879,precarious
precarious,precarious,moderate,grand,complex,waterfall,Modernisation,20.51851852,13.6961412,precarious
precarious,precarious,moderate,grand,complex,agile,Greenfield,20.07407407,12.65789929,precarious
precarious,precarious,moderate,grand,complex,agile,Development with components,21.33703704,15.60823672,precarious
precarious,precarious,moderate,grand,complex,agile,Customizing of bought solution,22.14074074,17.48572417,precarious
precarious,precarious,moderate,grand,complex,agile,Modernisation,23.63333333,20.97248659,precarious
precarious,precarious,moderate,grand,average,waterfall,Greenfield,18.29259259,8.496279633,precarious
precarious,precarious,moderate,grand,average,waterfall,Development with components,19.55555556,11.44661706,precarious
precarious,precarious,moderate,grand,average,waterfall,Customizing of bought solution,20.35925926,13.32410452,precarious
precarious,precarious,moderate,grand,average,waterfall,Modernisation,21.85185185,16.81086693,precarious
precarious,precarious,moderate,grand,average,agile,Greenfield,21.40740741,15.77262502,precarious
precarious,precarious,moderate,grand,average,agile,Development with components,22.67037037,18.72296245,precarious
precarious,precarious,moderate,grand,average,agile,Customizing of bought solution,23.47407407,20.6004499,precarious
precarious,precarious,moderate,grand,average,agile,Modernisation,24.96666667,24.08721232,precarious
precarious,precarious,moderate,grand,easy,waterfall,Greenfield,18.64814815,9.326873161,precarious
precarious,precarious,moderate,grand,easy,waterfall,Development with components,19.91111111,12.27721059,precarious
precarious,precarious,moderate,grand,easy,waterfall,Customizing of bought solution,20.71481481,14.15469804,precarious
precarious,precarious,moderate,grand,easy,waterfall,Modernisation,22.20740741,17.64146046,precarious
precarious,precarious,moderate,grand,easy,agile,Greenfield,21.76296296,16.60321855,precarious
precarious,precarious,moderate,grand,easy,agile,Development with components,23.02592593,19.55355598,precarious
precarious,precarious,moderate,grand,easy,agile,Customizing of bought solution,23.82962963,21.43104343,precarious
precarious,precarious,moderate,grand,easy,agile,Modernisation,25.32222222,24.91780585,precarious
precarious,precarious,moderate,grand,very easy,waterfall,Greenfield,18.82592593,9.742169926,precarious
precarious,precarious,moderate,grand,very easy,waterfall,Development with components,20.08888889,12.69250735,precarious
precarious,precarious,moderate,grand,very easy,waterfall,Customizing of bought solution,20.89259259,14.56999481,precarious
precarious,precarious,moderate,grand,very easy,waterfall,Modernisation,22.38518519,18.05675722,precarious
precarious,precarious,moderate,grand,very easy,agile,Greenfield,21.94074074,17.01851531,precarious
precarious,precarious,moderate,grand,very easy,agile,Development with components,23.2037037,19.96885274,precarious
precarious,precarious,moderate,grand,very easy,agile,Customizing of bought solution,24.00740741,21.8463402,precarious
precarious,precarious,moderate,grand,very easy,agile,Modernisation,25.5,25.33310261,moderate
precarious,precarious,moderate,large,very complex,waterfall,Greenfield,17.91481481,7.613774009,precarious
precarious,precarious,moderate,large,very complex,waterfall,Development with components,19.17777778,10.56411144,precarious
precarious,precarious,moderate,large,very complex,waterfall,Customizing of bought solution,19.98148148,12.44159889,precarious
precarious,precarious,moderate,large,very complex,waterfall,Modernisation,21.47407407,15.92836131,precarious
precarious,precarious,moderate,large,very complex,agile,Greenfield,21.02962963,14.8901194,precarious
precarious,precarious,moderate,large,very complex,agile,Development with components,22.29259259,17.84045683,precarious
precarious,precarious,moderate,large,very complex,agile,Customizing of bought solution,23.0962963,19.71794428,precarious
precarious,precarious,moderate,large,very complex,agile,Modernisation,24.58888889,23.2047067,precarious
precarious,precarious,moderate,large,complex,waterfall,Greenfield,18.18148148,8.236719156,precarious
precarious,precarious,moderate,large,complex,waterfall,Development with components,19.44444444,11.18705658,precarious
precarious,precarious,moderate,large,complex,waterfall,Customizing of bought solution,20.24814815,13.06454404,precarious
precarious,precarious,moderate,large,complex,waterfall,Modernisation,21.74074074,16.55130645,precarious
precarious,precarious,moderate,large,complex,agile,Greenfield,21.2962963,15.51306454,precarious
precarious,precarious,moderate,large,complex,agile,Development with components,22.55925926,18.46340197,precarious
precarious,precarious,moderate,large,complex,agile,Customizing of bought solution,23.36296296,20.34088943,precarious
precarious,precarious,moderate,large,complex,agile,Modernisation,24.85555556,23.82765184,precarious
precarious,precarious,moderate,large,average,waterfall,Greenfield,19.51481481,11.35144489,precarious
precarious,precarious,moderate,large,average,waterfall,Development with components,20.77777778,14.30178232,precarious
precarious,precarious,moderate,large,average,waterfall,Customizing of bought solution,21.58148148,16.17926977,precarious
precarious,precarious,moderate,large,average,waterfall,Modernisation,23.07407407,19.66603219,precarious
precarious,precarious,moderate,large,average,agile,Greenfield,22.62962963,18.62779028,precarious
precarious,precarious,moderate,large,average,agile,Development with components,23.89259259,21.5781277,precarious
precarious,precarious,moderate,large,average,agile,Customizing of bought solution,24.6962963,23.45561516,precarious
precarious,precarious,moderate,large,average,agile,Modernisation,26.18888889,26.94237757,moderate
precarious,precarious,moderate,large,easy,waterfall,Greenfield,19.87037037,12.18203841,precarious
precarious,precarious,moderate,large,easy,waterfall,Development with components,21.13333333,15.13237584,precarious
precarious,precarious,moderate,large,easy,waterfall,Customizing of bought solution,21.93703704,17.0098633,precarious
precarious,precarious,moderate,large,easy,waterfall,Modernisation,23.42962963,20.49662571,precarious
precarious,precarious,moderate,large,easy,agile,Greenfield,22.98518519,19.4583838,precarious
precarious,precarious,moderate,large,easy,agile,Development with components,24.24814815,22.40872123,precarious
precarious,precarious,moderate,large,easy,agile,Customizing of bought solution,25.05185185,24.28620869,precarious
precarious,precarious,moderate,large,easy,agile,Modernisation,26.54444444,27.7729711,moderate
precarious,precarious,moderate,large,very easy,waterfall,Greenfield,20.04814815,12.59733518,precarious
precarious,precarious,moderate,large,very easy,waterfall,Development with components,21.31111111,15.54767261,precarious
precarious,precarious,moderate,large,very easy,waterfall,Customizing of bought solution,22.11481481,17.42516006,precarious
precarious,precarious,moderate,large,very easy,waterfall,Modernisation,23.60740741,20.91192248,precarious
precarious,precarious,moderate,large,very easy,agile,Greenfield,23.16296296,19.87368057,precarious
precarious,precarious,moderate,large,very easy,agile,Development with components,24.42592593,22.824018,precarious
precarious,precarious,moderate,large,very easy,agile,Customizing of bought solution,25.22962963,24.70150545,precarious
precarious,precarious,moderate,large,very easy,agile,Modernisation,26.72222222,28.18826787,moderate
precarious,precarious,moderate,medium,very complex,waterfall,Greenfield,19.13703704,10.46893926,precarious
precarious,precarious,moderate,medium,very complex,waterfall,Development with components,20.4,13.41927669,precarious
precarious,precarious,moderate,medium,very complex,waterfall,Customizing of bought solution,21.2037037,15.29676415,precarious
precarious,precarious,moderate,medium,very complex,waterfall,Modernisation,22.6962963,18.78352656,precarious
precarious,precarious,moderate,medium,very complex,agile,Greenfield,22.25185185,17.74528465,precarious
precarious,precarious,moderate,medium,very complex,agile,Development with components,23.51481481,20.69562208,precarious
precarious,precarious,moderate,medium,very complex,agile,Customizing of bought solution,24.31851852,22.57310953,precarious
precarious,precarious,moderate,medium,very complex,agile,Modernisation,25.81111111,26.05987195,moderate
precarious,precarious,moderate,medium,complex,waterfall,Greenfield,19.4037037,11.09188441,precarious
precarious,precarious,moderate,medium,complex,waterfall,Development with components,20.66666667,14.04222184,precarious
precarious,precarious,moderate,medium,complex,waterfall,Customizing of bought solution,21.47037037,15.91970929,precarious
precarious,precarious,moderate,medium,complex,waterfall,Modernisation,22.96296296,19.40647171,precarious
precarious,precarious,moderate,medium,complex,agile,Greenfield,22.51851852,18.3682298,precarious
precarious,precarious,moderate,medium,complex,agile,Development with components,23.78148148,21.31856723,precarious
precarious,precarious,moderate,medium,complex,agile,Customizing of bought solution,24.58518519,23.19605468,precarious
precarious,precarious,moderate,medium,complex,agile,Modernisation,26.07777778,26.6828171,moderate
precarious,precarious,moderate,medium,average,waterfall,Greenfield,20.73703704,14.20661014,precarious
precarious,precarious,moderate,medium,average,waterfall,Development with components,22,17.15694757,precarious
precarious,precarious,moderate,medium,average,waterfall,Customizing of bought solution,22.8037037,19.03443502,precarious
precarious,precarious,moderate,medium,average,waterfall,Modernisation,24.2962963,22.52119744,precarious
precarious,precarious,moderate,medium,average,agile,Greenfield,23.85185185,21.48295553,precarious
precarious,precarious,moderate,medium,average,agile,Development with components,25.11481481,24.43329296,precarious
precarious,precarious,moderate,medium,average,agile,Customizing of bought solution,25.91851852,26.31078041,moderate
precarious,precarious,moderate,medium,average,agile,Modernisation,27.41111111,29.79754283,moderate
precarious,precarious,moderate,medium,easy,waterfall,Greenfield,21.09259259,15.03720367,precarious
precarious,precarious,moderate,medium,easy,waterfall,Development with components,22.35555556,17.9875411,precarious
precarious,precarious,moderate,medium,easy,waterfall,Customizing of bought solution,23.15925926,19.86502855,precarious
precarious,precarious,moderate,medium,easy,waterfall,Modernisation,24.65185185,23.35179097,precarious
precarious,precarious,moderate,medium,easy,agile,Greenfield,24.20740741,22.31354906,precarious
precarious,precarious,moderate,medium,easy,agile,Development with components,25.47037037,25.26388649,moderate
precarious,precarious,moderate,medium,easy,agile,Customizing of bought solution,26.27407407,27.14137394,moderate
precarious,precarious,moderate,medium,easy,agile,Modernisation,27.76666667,30.62813636,moderate
